Date,Open,High,Low,Close,Adj Close,Volume
2020-05-04,7384.5146484375,7384.5146484375,7118.24609375,7153.7490234375,7057.8095703125,1290662
2020-05-06,7251.38037109375,7286.88330078125,7153.7490234375,7224.75390625,7127.86181640625,418654
2020-05-07,7233.62939453125,7411.1416015625,7233.62939453125,7331.26123046875,7232.94091796875,471475
2020-05-08,7366.763671875,7491.0224609375,7340.13671875,7473.27099609375,7373.04638671875,410194
2020-05-11,7499.89794921875,7508.7734375,7313.509765625,7349.01220703125,7250.45361328125,475288
2020-05-12,7473.27099609375,7606.4052734375,7375.63916015625,7606.4052734375,7504.39501953125,843870
2020-05-13,7606.4052734375,7633.0322265625,7517.64892578125,7579.7783203125,7478.125,370485
2020-05-14,7606.4052734375,7606.4052734375,7331.26123046875,7420.017578125,7320.5068359375,439461
2020-05-15,7544.27587890625,7544.27587890625,7393.390625,7499.89794921875,7399.31591796875,323860
2020-05-18,7570.90283203125,7579.7783203125,7393.390625,7402.26611328125,7302.99365234375,315022
2020-05-19,7499.89794921875,7517.64892578125,7402.26611328125,7446.64404296875,7346.7763671875,374541
2020-05-20,7455.52001953125,7473.27099609375,7402.26611328125,7411.1416015625,7311.75,306486
2020-05-21,7455.52001953125,7570.90283203125,7357.88818359375,7428.89306640625,7329.26318359375,523383
2020-05-22,7428.89306640625,7455.52001953125,7207.00244140625,7286.88330078125,7189.158203125,461881
2020-05-25,7304.63427734375,7331.26123046875,7224.75390625,7251.38037109375,7154.13134765625,308683
2020-05-26,7233.62939453125,7340.13671875,7224.75390625,7278.00732421875,7180.4013671875,315770
2020-05-27,7384.5146484375,7544.27587890625,7357.88818359375,7535.400390625,7434.34228515625,828492
2020-05-28,7704.037109375,7730.6640625,7411.1416015625,7446.64404296875,7346.7763671875,1294342
2020-05-29,7499.89794921875,7828.2958984375,7455.52001953125,7828.2958984375,7723.3095703125,1059576
2020-06-01,7739.53955078125,7925.927734375,7677.41015625,7872.673828125,7767.0927734375,985578
2020-06-02,7899.30078125,7899.30078125,7766.16650390625,7819.42041015625,7714.55322265625,487335
2020-06-03,7872.673828125,7872.673828125,7677.41015625,7766.16650390625,7662.013671875,577504
2020-06-04,7810.54443359375,7872.673828125,7712.91259765625,7748.4150390625,7644.5,633003
2020-06-05,7757.291015625,7837.17138671875,7748.4150390625,7783.91796875,7679.52685546875,348260
2020-06-08,7908.17626953125,8121.19140625,7863.79833984375,8067.9375,7959.7373046875,1256026
2020-06-09,8662.603515625,8786.8623046875,8325.330078125,8698.1064453125,8581.455078125,5362892
2020-06-10,8813.4892578125,9053.130859375,8502.8427734375,8520.59375,8406.3232421875,2578891
2020-06-11,8502.8427734375,8653.728515625,8298.7041015625,8360.8330078125,8248.705078125,1484084
2020-06-12,7837.17138671875,8209.947265625,7757.291015625,8138.9423828125,8029.7900390625,1182005
2020-06-15,8387.4599609375,8751.3603515625,7988.05712890625,8130.06689453125,8021.03369140625,2739007
2020-06-16,8272.0771484375,8440.7138671875,8147.81787109375,8280.9521484375,8169.8955078125,2091056
2020-06-17,9008.7529296875,9674.4248046875,8591.5986328125,9053.130859375,8931.71875,16043636
